,Date,Rain,T_max,T_min,Tourism,Travel_index,Travel,Bus & Rail,Tourist Destinations,Travel Agencies,value_lag_1,value_lag_2,value_lag_3,value_lag_4,value_lag_5,Cluster_ID,Tourist Arrivals,date,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear
0,2010-01-06,1.424956597,0.66561156,0.701526525,2.617250785,1.956571271,1.948924881,0.631997263,2.130383175,2.575466699,28938.0,57215.0,66854.0,94185.0,94966.0,3,26738.0,0,2,1,1,2010,6,6,1
1,2010-01-07,1.925311881,-0.359186469,0.348963723,2.617250785,2.127278832,2.119442145,1.348375633,1.638270971,3.069348451,26738.0,28938.0,57215.0,66854.0,94185.0,4,40931.0,1,3,1,1,2010,7,7,1
2,2010-01-08,0.622243422,-0.895985437,0.569315475,2.060616671,2.297986392,2.289959409,2.064754002,2.212401876,1.958114509,40931.0,26738.0,28938.0,57215.0,66854.0,3,56230.0,2,4,1,1,2010,8,8,1
3,2010-01-09,0.068229177,-0.950885331,0.619681589,3.03472637,2.724755294,2.716252569,1.437922929,3.114607584,3.192818889,56230.0,40931.0,26738.0,28938.0,57215.0,5,44673.0,3,5,1,1,2010,9,9,1
4,2010-01-10,0.639319027,-0.944785343,0.355259488,2.756409313,2.468693953,2.460476673,1.437922929,2.212401876,2.575466699,44673.0,56230.0,40931.0,26738.0,28938.0,3,59414.0,4,6,1,1,2010,10,10,1
5,2010-01-11,0.431245921,-1.420584428,-0.50096446,2.408512992,2.554047733,2.630993937,1.258828336,3.032588883,2.328525823,59414.0,44673.0,56230.0,40931.0,26738.0,3,73843.0,5,0,1,1,2010,11,11,2
6,2010-01-12,-0.785336103,-1.573084135,-1.583835923,1.991037407,2.639401513,2.630993937,3.318416148,2.786532781,2.328525823,73843.0,59414.0,44673.0,56230.0,40931.0,8,88998.0,6,1,1,1,2010,12,12,2
7,2011-01-01,-0.873179988,-0.963085308,-1.974173311,1.434403293,1.188387249,1.266855826,1.16928104,0.900102664,1.464232758,88998.0,73843.0,59414.0,44673.0,56230.0,6,106314.0,7,5,1,1,2011,1,1,52
8,2011-01-02,-0.6268929,-0.340886505,-2.471538692,1.156086236,0.761618347,0.755304034,0.452902671,0.736065263,1.093821444,106314.0,88998.0,73843.0,59414.0,44673.0,1,94185.0,8,6,1,1,2011,2,2,52
9,2011-01-03,-0.833857976,0.683911524,-1.086470542,0.947348444,0.676264567,0.670045402,0.094713486,0.572027861,0.846880568,94185.0,106314.0,88998.0,73843.0,59414.0,6,71199.0,9,0,1,1,2011,3,3,1
10,2011-01-04,-0.601603244,0.738811419,0.638568882,1.156086236,1.359094809,1.352114458,1.437922929,1.146158767,1.217291882,71199.0,94185.0,106314.0,88998.0,73843.0,1,59275.0,10,1,1,1,2011,4,4,1
11,2011-01-05,-0.675071484,0.647311595,0.663751939,1.295244765,1.444448589,1.43737309,1.348375633,1.146158767,1.464232758,59275.0,71199.0,94185.0,106314.0,88998.0,1,29704.0,11,2,1,1,2011,5,5,1
12,2011-01-06,1.176037364,-0.828885566,0.670047704,1.643141086,1.359094809,1.352114458,0.811091856,0.900102664,1.834644071,29704.0,59275.0,71199.0,94185.0,106314.0,4,27509.0,12,3,1,1,2011,6,6,1
13,2011-01-07,0.269291277,-1.164384921,0.443400188,1.364824029,1.017679688,1.01107993,0.184260782,0.982121365,1.464232758,27509.0,29704.0,59275.0,71199.0,94185.0,3,41954.0,13,4,1,1,2011,7,7,1
14,2011-01-08,0.646774853,-1.225384803,0.594498532,1.364824029,1.273741029,1.266855826,0.990186448,1.146158767,1.217291882,41954.0,27509.0,29704.0,59275.0,71199.0,3,58067.0,14,5,1,1,2011,8,8,1
15,2011-01-09,0.132562306,-0.670285871,0.153795029,1.295244765,0.932325908,0.925821298,0.273808079,1.228177467,1.217291882,58067.0,41954.0,27509.0,29704.0,59275.0,3,46056.5,15,6,1,1,2011,9,9,1
16,2011-01-10,-0.223647644,-0.395786399,0.56301971,1.434403293,0.932325908,0.925821298,0.631997263,0.982121365,1.217291882,46056.5,58067.0,41954.0,27509.0,29704.0,5,61552.0,16,0,1,1,2011,10,10,2
17,2011-01-11,-0.084184615,-1.298584663,-1.816779203,1.364824029,0.932325908,0.925821298,0.363355375,1.228177467,0.970351006,61552.0,46056.5,58067.0,41954.0,27509.0,5,76338.0,17,1,1,1,2011,11,11,2
18,2011-01-12,-0.735042226,-1.20098485,-2.559679393,1.2256655,0.846972127,0.840562666,0.273808079,0.572027861,1.217291882,76338.0,61552.0,46056.5,58067.0,41954.0,1,92343.5,18,2,1,1,2011,12,12,2
19,2012-01-01,-0.87794007,-0.889885449,-3.201847353,0.669031387,0.164141885,0.158493611,-0.084381106,0.243953059,0.599939692,92343.5,76338.0,61552.0,46056.5,58067.0,6,509758.5,19,6,1,1,2012,1,1,52
20,2012-01-02,-0.87236774,0.775411348,-1.810483438,0.529872858,0.078788105,0.158493611,-0.084381106,-0.166140445,0.476469254,509758.5,92343.5,76338.0,61552.0,46056.5,6,433032.5,20,0,1,1,2012,2,2,1
21,2012-01-03,-0.846539394,1.001110914,0.141203501,0.599452123,0.164141885,0.158493611,0.273808079,-0.002103044,0.599939692,433032.5,509758.5,92343.5,76338.0,61552.0,6,425142.5,21,1,1,1,2012,3,3,1
22,2012-01-04,-0.405940296,1.293910351,0.33007643,0.599452123,0.249495665,0.243752243,0.273808079,0.40799046,0.476469254,425142.5,433032.5,509758.5,92343.5,76338.0,5,436261.0,22,2,1,1,2012,4,4,1
23,2012-01-05,-0.666802643,0.94621102,1.142230028,0.808189915,0.334849446,0.329010875,0.363355375,0.572027861,0.72341013,436261.0,425142.5,433032.5,509758.5,92343.5,1,508055.5,23,3,1,1,2012,5,5,1
24,2012-01-06,0.445962174,0.726611442,0.657456175,0.808189915,0.164141885,0.158493611,-0.084381106,0.243953059,0.846880568,508055.5,436261.0,425142.5,433032.5,509758.5,3,386106.0,24,4,1,1,2012,6,6,1
25,2012-01-07,0.173380847,-0.548286106,0.411921367,0.738610651,0.420203226,0.414269506,0.094713486,0.572027861,0.846880568,386106.0,508055.5,436261.0,425142.5,433032.5,3,383038.0,25,5,1,1,2012,7,7,1
26,2012-01-08,0.47935554,-0.74348573,0.455991717,0.808189915,0.590910787,0.329010875,0.542449967,0.572027861,0.72341013,383038.0,386106.0,508055.5,436261.0,425142.5,3,450531.0,26,6,1,1,2012,8,8,1
27,2012-01-09,-0.274174085,-0.334786516,0.367851016,0.599452123,0.420203226,0.414269506,0.094713486,0.40799046,0.72341013,450531.0,383038.0,386106.0,508055.5,436261.0,5,469234.75,27,0,1,1,2012,9,9,2
28,2012-01-10,-0.263174251,-0.060287044,0.292301844,0.460293594,0.420203226,0.414269506,0.094713486,0.818083964,0.476469254,469234.75,450531.0,383038.0,386106.0,508055.5,5,588635.0,28,1,1,1,2012,10,10,2
29,2012-01-11,-0.684360232,-0.676385859,-1.508286751,0.39071433,0.164141885,0.158493611,0.452902671,0.572027861,0.352998816,588635.0,469234.75,450531.0,383038.0,386106.0,1,574231.0,29,2,1,1,2012,11,11,2
